"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5184","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","15.774891","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","15.507380","0","6"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","18.013088","0","10"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","9","3","1","16.705042","0","41"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","2","1","13.597688","0","11"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","4","1","1","12.123086","0","13"
"/MovieRenderPipeline/Materials/MoviePipeline_StencilCutout.MoviePipeline_StencilCutout","0","17","1","1","25.068611","0","173"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","9","1","1","10.152774","0","53"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","1","1","73.469688","0","1838"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","98","1","1","107.120369","0","4815"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","1","1","70.483528","0","1868"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","9","1","1","9.235598","0","53"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","41.649345","0","433"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","18.541632","0","118"
"/Engine/VREditor/TransformGizmo/Main.Main","0","9","1","1","12.447038","0","49"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","9","1","1","8.996116","0","53"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","51","2","1","39.146908","0","1342"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","0","54","1","1","58.937634","0","1507"
"/Game/Tech/BuildingSystem/Materials/RedColor.RedColor","0","24","1","1","37.527912","0","317"
"/Game/Tech/BuildingSystem/Materials/GreyColor.GreyColor","0","24","2","1","49.030228","0","306"
"/Game/Tech/BuildingSystem/Materials/GreenColor.GreenColor","0","24","1","1","63.343338","0","243"
"/Game/Particles/Starter_Particles/Materials/m_flare_01.m_flare_01","0","36","7","1","86.537735","0","170"
"","0","1","0","1","0.000000","1","0"
"/Game/Materials/VFX/MM_LevelBorder.MM_LevelBorder","0","48","1","1","67.599747","0","1209"
"/Game/Materials/Sky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","1","1","4.490639","0","13"
"/Game/Materials/Environment/Mountain/MM_Mountain.MM_Mountain","0","24","1","1","35.313473","0","298"
"/Game/Materials/MM_Solid_Color.MM_Solid_Color","0","38","1","1","88.416603","0","745"
"/Game/Materials/MM_EnemyPoisoned.MM_EnemyPoisoned","0","28","1","1","37.748436","0","414"
"/Game/Materials/MM_EnemyGreen.MM_EnemyGreen","0","28","1","1","37.815002","0","357"
"/Game/Materials/MM_EnemyFrozen.MM_EnemyFrozen","0","28","1","1","37.611576","0","295"
"/Game/Materials/MM_Emmisive_Color.MM_Emmisive_Color","0","33","1","1","45.221977","0","469"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","84","1","1","156.411133","0","1255"
